Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"	"TAU score - Tissue"	"TAU score - Blood"	"TAU score - Brain"	"TAU score - Single Cell Type"	"TAU score - Single nuclei brain"	"Tissue RNA - endometrium 1 [nTPM]"
RECQL4	RecQ4	ENSG00000160957	"RecQ like helicase 4"	O94761	8	144511288-144517845	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"		"DNA-binding, Helicase, Hydrolase, Isomerase"	"Cancer-related genes, Cataract, Craniosynostosis, Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.43e-1)"	0.58	"Not detected"	0.17	0.73	0.49	2.4
RECQL5	"FLJ90603, RecQ5"	ENSG00000108469	"RecQ like helicase 5"	O94762	17	75626845-75667189	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Cell cycle, Cell division, DNA damage, DNA repair, DNA replication"	"DNA-binding, Helicase, Hydrolase, Isomerase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (8.20e-2)"	0.19	0.48	0.11	0.46	0.22	10.0
REEP1	"C2orf23, FLJ13110, SPG31, Yip2a"	ENSG00000068615	"Receptor accessory protein 1"	Q9H902	2	86213993-86338083	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"			"Disease variant, Hereditary spastic paraplegia, Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.57e-2)"	0.47	"Not detected"	0.16	0.72	0.22	18.2
REEP2	"C5orf19, SGC32445, SPG72, Yip2d"	ENSG00000132563	"Receptor accessory protein 2"	Q9BRK0	5	138439057-138446969	"Disease related genes, Human disease related genes, Predicted membrane proteins"			"Disease variant, Hereditary spastic paraplegia, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.92e-2)"	0.64	"Not detected"	0.10	0.82	0.21	6.6
REEP3	"C10orf74, Yip2b"	ENSG00000165476	"Receptor accessory protein 3"	Q6NUK4	10	63521401-63625128	"Predicted membrane proteins"	"Cell cycle, Cell division, Mitosis"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.02e-1)"	0.22	0.37	0.15	0.36	0.23	19.3
REEP4	"C8orf20, FLJ22246, FLJ22277, PP432, Yip2c"	ENSG00000168476	"Receptor accessory protein 4"	Q9H6H4	8	22138020-22141951	"Predicted membrane proteins"	"Cell cycle, Cell division, Mitosis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.25e-2)"	0.43	0.25	0.14	0.49	0.74	9.1
REEP5	"C5orf18, D5S346, DP1, POB16, TB2, Yip2e"	ENSG00000129625	"Receptor accessory protein 5"	Q00765	5	112876385-112922289	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.35e-2)"	0.20	0.12	0.05	0.24	0.11	56.6
REEP6	"C19orf32, DP1L1, FLJ25383, Yip2f"	ENSG00000115255	"Receptor accessory protein 6"	Q96HR9	19	1491166-1497927	"Disease related genes, Human disease related genes, Predicted membrane proteins"			"Disease variant, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.24e-2)"	0.61	0.54	0.09	0.70	0.45	3.4
REG1A	"PSP, PSPS, PSPS1, PTP, REG"	ENSG00000115386	"Regenerating family member 1 alpha"	P05451	2	79120362-79123409	"Plasma proteins, Predicted secreted proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.56e-2)"	0.78	"Not detected"	"Not detected"	0.91	"Not detected"	5.2
REG1B	"PSPS2, REGH, REGI-BETA, REGL"	ENSG00000172023	"Regenerating family member 1 beta"	P48304	2	79085023-79088019	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.86	"Not detected"	"Not detected"	0.94	"Not detected"	2.0
REG3A	"HIP, PAP, PAP1, PBCGF, REG-III, REG3"	ENSG00000172016	"Regenerating family member 3 alpha"	Q06141	2	79157003-79159753	"Plasma proteins, Predicted secreted proteins, Transporters"	"Acute phase, Inflammatory response"	Antimicrobial		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.88	"Not detected"	"Not detected"	0.93	"Not detected"	2.8
REL	"c-Rel, HIVEN86A, I-Rel"	ENSG00000162924	"REL proto-oncogene, NF-kB subunit"	Q04864	2	60881491-60931612	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes, Proto-oncogene"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.17e-1)"	0.54	0.29	0.11	0.49	0.39	5.4
RELA	"NFKB3, p65"	ENSG00000173039	"RELA proto-oncogene, NF-kB subunit"	Q04206	11	65653599-65663090	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors"	"Host-virus interaction, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.10e-3)"	0.13	0.10	0.08	0.23	0.34	58.9
RELB	REL-B	ENSG00000104856	"RELB proto-oncogene, NF-kB subunit"	Q01201	19	45001461-45038192	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Biological rhythms, Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.75e-1)"	0.40	0.55	0.18	0.48	0.56	12.6
RELCH	"FLJ33841, HsT3308, HsT885, KIAA1468"	ENSG00000134444	"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing"	Q9P260	18	62187255-62310249	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.54e-2)"	0.27	0.29	0.08	0.49	0.10	8.2
RELL1		ENSG00000181826	"RELT like 1"	Q8IUW5	4	37590800-37686376	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.89e-2)"	0.44	0.55	0.18	0.45	0.47	5.3
RELL2	"C5orf16, FLJ90583"	ENSG00000164620	"RELT like 2"	Q8NC24	5	141636950-141641064	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.42e-2)"	0.69	0.59	0.22	0.69	0.37	2.1
RELT	"FLJ14993, TNFRSF19L"	ENSG00000054967	"RELT TNF receptor"	Q969Z4	11	73376399-73397474	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"	Apoptosis	Receptor	"Amelogenesis imperfecta, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.83e-1)"	0.72	0.54	0.15	0.65	0.51	1.3
REM1	"GES, REM"	ENSG00000088320	"RRAD and GEM like GTPase 1"	O75628	20	31475288-31484895	"Predicted intracellular proteins"		Calmodulin-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.62e-2)"	0.53	"Not detected"	0.35	0.90	0.95	10.1
REN		ENSG00000143839	Renin	P00797	1	204154819-204190324	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"		"Aspartyl protease, Hydrolase, Protease"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.25e-1)"	0.87	"Not detected"	0.67	0.91	0.80	9.2
RENBP	"RBP, RNBP"	ENSG00000102032	"Renin binding protein"	P51606	X	153935269-153944687	"Enzymes, Metabolic proteins, Predicted intracellular proteins"		Isomerase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.43e-2)"	0.55	0.72	0.12	0.75	0.63	3.7
REPIN1	"AP4, H_DJ0584D14.12, RIP60, Zfp464, ZNF464"	ENSG00000214022	"Replication initiator 1"	Q9BWE0	7	150368189-150374044	"Predicted intracellular proteins"		DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.22e-2)"	0.25	0.60	0.06	0.31	"Not detected"	36.2
REPS1		ENSG00000135597	"RALBP1 associated Eps domain containing 1"	Q96D71	6	138903493-138988261	"Disease related genes, Human disease related genes, Predicted intracellular proteins"			"Disease variant, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.52e-2)"	0.17	0.35	0.07	0.48	0.18	21.2
REPS2	POB1	ENSG00000169891	"RALBP1 associated Eps domain containing 2"	Q8NFH8	X	16946658-17153272	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.54e-1)"	0.45	0.88	0.20	0.63	0.21	4.0
RER1		ENSG00000157916	"Retention in endoplasmic reticulum sorting receptor 1"	O15258	1	2391775-2405442	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.65e-1)"	0.15	0.09	0.06	0.27	0.17	72.0
RERE	"ARG, ARP, ATN1L, ATN2, DNB1, KIAA0458"	ENSG00000142599	"Arginine-glutamic acid dipeptide repeats"	Q9P2R6	1	8352397-8848921	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, Repressor"	"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.75e-1)"	0.26	0.47	0.06	0.36	0.09	87.0
RERG	MGC15754	ENSG00000134533	"RAS like estrogen regulated growth inhibitor"	Q96A58	12	15107783-15348675	"Enzymes, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.29e-2)"	0.41	"Not detected"	0.27	0.66	0.34	101.2
RERGL	FLJ22655	ENSG00000111404	"RERG like"	Q9H628	12	18080869-18320107	"Enzymes, Predicted intracellular proteins"		Hydrolase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"		0.43	"Not detected"	0.20	0.91	0.70	24.4
RESF1	"C12orf35, FLJ10652, FLJ20696, GET, KIAA1551, UTA2-1"	ENSG00000174718	"Retroelement silencing factor 1"	Q9HCM1	12	31959370-31993107	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.90e-1)"	0.39	0.38	0.16	0.41	0.41	22.5
REST	"DFNA27, NRSF, XBR"	ENSG00000084093	"RE1 silencing transcription factor"	Q13127	4	56907876-56966808	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	Repressor	"Deafness, Disease variant, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.49e-2)"	0.33	0.38	0.11	0.21	0.53	9.0
RETREG1	"FAM134B, FLJ20152, JK1"	ENSG00000154153	"Reticulophagy regulator 1"	Q9H6L5	5	16473038-16617101	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Autophagy		"Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.34e-1)"	0.47	0.64	0.13	0.56	0.26	4.1
RETREG2	"C2orf17, FAM134A, MAG-2, MGC3035"	ENSG00000144567	"Reticulophagy regulator family member 2"	Q8NC44	2	219176225-219185475	"Predicted intracellular proteins, Predicted membrane proteins"	Autophagy			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.77e-1)"	0.20	0.34	0.03	0.31	0.15	33.9
RETREG3	"DKFZp686B1036, FAM134C, FLJ33806"	ENSG00000141699	"Reticulophagy regulator family member 3"	Q86VR2	17	42579513-42610623	"Predicted membrane proteins"	Autophagy			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.40e-2)"	0.18	0.17	0.05	0.34	0.17	17.9
RETSAT	FLJ20296	ENSG00000042445	"Retinol saturase"	Q6NUM9	2	85341955-85354531	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"	"Lipid metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.34e-1)"	0.39	0.37	0.10	0.54	0.24	15.5
REV1	REV1L	ENSG00000135945	"REV1 DNA directed polymerase"	Q9UBZ9	2	99400475-99490035	"Predicted intracellular proteins"	"DNA damage, DNA repair, DNA synthesis"	"DNA-binding, Nucleotidyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.83e-2)"	0.23	"Not detected"	0.20	0.26	0.08	13.8
REV3L	"POLZ, REV3"	ENSG00000009413	"REV3 like, DNA directed polymerase zeta catalytic subunit"	O60673	6	111299028-111483715	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"DNA damage, DNA repair, DNA replication"	"DNA-binding, DNA-directed DNA polymerase, Nucleotidyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.08e-2)"	0.46	0.40	0.08	0.43	0.15	10.0
REX1BD	"C19orf60, FLJ20850, FLJ30108, FLJ34606, FLJ37391"	ENSG00000006015	"Required for excision 1-B domain containing"	Q96EN9	19	18588685-18592337	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.05e-2)"	0.34	0.04	0.04	0.22	0.15	38.3
REXO1	"EloA-BP1, KIAA1138, TCEB3BP1"	ENSG00000079313	"RNA exonuclease 1 homolog"	Q8N1G1	19	1815248-1848483	"Predicted intracellular proteins"		"Exonuclease, Hydrolase, Nuclease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.44e-1)"	0.28	"Not detected"	0.16	0.54	0.13	13.5
REXO2	"CGI-114, DKFZP566E144, SFN"	ENSG00000076043	"RNA exonuclease 2"	Q9Y3B8	11	114439435-114450279	"Predicted intracellular proteins"		"Exonuclease, Hydrolase, Nuclease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.34e-1)"	0.20	0.21	0.08	0.36	0.18	69.2
REXO4	"hPMC2, XPMC2H"	ENSG00000148300	"REX4 homolog, 3'-5' exonuclease"	Q9GZR2	9	133406059-133418096	"Predicted intracellular proteins"		"Exonuclease, Hydrolase, Nuclease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.54e-3)"	0.30	0.40	0.06	0.33	0.19	12.2
REXO5	NEF-sp	ENSG00000005189	"RNA exonuclease 5"	Q96IC2	16	20806429-20849665	"Predicted intracellular proteins"		"Exonuclease, Hydrolase, Nuclease, RNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (8.43e-2)"	0.79	0.90	0.11	0.82	0.39	2.2
RFC1	"A1, MHCBFB, PO-GA, RFC140"	ENSG00000035928	"Replication factor C subunit 1"	P35251	4	39287456-39366375	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"DNA replication, Transcription, Transcription regulation"	"Activator, DNA-binding"	Neuropathy	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.36e-1)"	0.18	0.17	0.14	0.23	0.20	18.6
RFC2	"A1, RFC40"	ENSG00000049541	"Replication factor C subunit 2"	P35250	7	74231499-74254458	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"DNA replication"		"Williams-Beuren syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.04e-1)"	0.25	0.15	0.05	0.40	0.44	9.3
RFC3	"MGC5276, RFC38"	ENSG00000133119	"Replication factor C subunit 3"	P40938	13	33818069-33966558	"Predicted intracellular proteins"	"DNA replication"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (4.43e-2)"	0.38	0.25	0.38	0.49	0.22	10.3
RFC4	"A1, RFC37"	ENSG00000163918	"Replication factor C subunit 4"	P35249	3	186789880-186807058	"Plasma proteins, Predicted intracellular proteins"	"DNA replication"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.03e-1)"	0.36	0.33	0.14	0.51	0.21	13.6
RFC5	RFC36	ENSG00000111445	"Replication factor C subunit 5"	P40937	12	118013588-118033130	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"DNA replication"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.20e-1)"	0.39	0.26	0.12	0.54	0.32	10.7
RFESD		ENSG00000175449	"Rieske Fe-S domain containing"	Q8TAC1	5	95646777-95684773	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.39e-1)"	0.59	0.56	0.18	0.74	0.43	1.8
RFFL	"CARP-2, CARP2, fring, rififylin, RNF189, RNF34L"	ENSG00000092871	"Ring finger and FYVE like domain containing E3 ubiquitin protein ligase"	Q8WZ73	17	35005990-35089319	"Enzymes, Predicted intracellular proteins"	"Apoptosis, Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.22e-1)"	0.29	0.33	0.13	0.53	0.52	9.4
RFK	"FLJ11149, RIFK"	ENSG00000135002	"Riboflavin kinase"	Q969G6	9	76385526-76394517	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted intracellular proteins"		"Kinase, Transferase"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.57e-2)"	0.22	0.35	0.17	0.42	0.22	12.4
RFLNA	"Cfm2, FAM101A, FLJ44614, RefilinA"	ENSG00000178882	"Refilin A"	Q6ZTI6	12	123973241-124316024	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.14e-1)"	0.79	"Not detected"	0.38	0.89	0.27	1.6
RFLNB	"Cfm1, FAM101B, MGC45871, RefilinB"	ENSG00000183688	"Refilin B"	Q8N5W9	17	439978-445939	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (7.14e-2)"	0.53	0.64	0.47	0.63	0.68	9.7
RFNG		ENSG00000169733	"RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"	Q9Y644	17	82047902-82051831	"Enzymes, Plasma proteins, Predicted intracellular proteins"	"Differentiation, Neurogenesis"	"Developmental protein, Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"unprognostic (1.26e-1)"	0.34	0.43	0.05	0.27	0.18	24.4
RFT1	CDG1N	ENSG00000163933	"RFT1 homolog"	Q96AA3	3	53088483-53130453	"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"	"Sugar transport, Transport"		"Congenital disorder of glycosylation, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.94e-2)"	0.23	0.16	0.11	0.40	0.27	8.9
RFTN1	"FLJ23866, KIAA0084, MIG2, Raftlin"	ENSG00000131378	"Raftlin, lipid raft linker 1"	Q14699	3	16313574-16514026	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (2.01e-1)"	0.37	0.25	0.16	0.60	0.38	35.3
RFTN2	"C2orf11, FLJ30574, Raftlin-2"	ENSG00000162944	"Raftlin family member 2"	Q52LD8	2	197568224-197676045	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"		0.61	"Not detected"	0.15	0.83	0.64	4.4
RFWD3	"FANCW, FLJ10520, RNF201"	ENSG00000168411	"Ring finger and WD repeat domain 3"	Q6PCD5	16	74621399-74666877	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"	"DNA damage, DNA repair, Ubl conjugation pathway"	Transferase	"Disease variant, Fanconi anemia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.57e-2)"	0.49	0.29	0.10	0.48	0.33	6.0
RFX1	EF-C	ENSG00000132005	"Regulatory factor X1"	P22670	19	13961530-14007039	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.01e-1)"	0.43	0.67	0.21	0.43	0.10	6.8
RFX2	FLJ14226	ENSG00000087903	"Regulatory factor X2"	P48378	19	5993164-6199572	"Predicted intracellular proteins, Transcription factors"	"Cilium biogenesis/degradation, Differentiation, Spermatogenesis, Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.05e-2)"	0.55	0.85	0.26	0.60	0.49	15.7
RFX3		ENSG00000080298	"Regulatory factor X3"	P48380	9	3218297-3526004	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.64e-1)"	0.54	0.27	0.11	0.59	0.25	3.1
RFX5		ENSG00000143390	"Regulatory factor X5"	P48382	1	151340640-151347326	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Disease variant, SCID"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.81e-1)"	0.31	0.26	0.07	0.36	0.39	21.3
RFX7	"FLJ12994, RFXDC2"	ENSG00000181827	"Regulatory factor X7"	Q2KHR2	15	56087280-56245082	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	"Autism spectrum disorder, Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.44e-1)"	0.38	0.68	0.17	0.56	0.08	4.0
RFXANK	"ANKRA1, BLS, F14150_1, MGC138628, RFX-B"	ENSG00000064490	"Regulatory factor X associated ankyrin containing protein"	O14593	19	19192229-19201869	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Disease variant, SCID"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.09e-1)"	0.14	0.14	0.06	0.25	0.44	27.5
RFXAP		ENSG00000133111	"Regulatory factor X associated protein"	O00287	13	36819222-36829104	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"		DNA-binding	SCID	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.88e-2)"	0.23	"Not detected"	0.20	0.41	0.12	6.6
RGCC	"bA157L14.2, C13orf15, RGC-32, RGC32"	ENSG00000102760	"Regulator of cell cycle"	Q9H4X1	13	41457550-41470871	"Predicted intracellular proteins"	"Cell cycle"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (9.80e-2)"	0.41	0.67	0.09	0.54	0.66	42.1
RGL1	RGL	ENSG00000143344	"Ral guanine nucleotide dissociation stimulator like 1"	Q9NZL6	1	183636085-183928532	"Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (1.38e-1)"	0.32	0.82	0.05	0.60	0.12	17.5
RGL2	"HKE1.5, KE1.5, RAB2L"	ENSG00000237441	"Ral guanine nucleotide dissociation stimulator like 2"	O15211	6	33291654-33298942	"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.64e-1)"	0.39	0.52	0.26	0.39	0.28	10.6
RGL3	FLJ32585	ENSG00000205517	"Ral guanine nucleotide dissociation stimulator like 3"	Q3MIN7	19	11384341-11419328	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (5.30e-2)"	0.56	"Not detected"	0.38	0.67	0.69	4.6
RGL4	Rgr	ENSG00000159496	"Ral guanine nucleotide dissociation stimulator like 4"	Q8IZJ4	22	23688136-23699176	"Predicted intracellular proteins"		"Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"unprognostic (8.29e-2)"	0.78	0.43	0.13	0.88	0.73	2.8
RGMA	RGM	ENSG00000182175	"Repulsive guidance molecule BMP co-receptor a"	Q96B86	15	93035271-93089211	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (6.99e-2)"	0.49	"Not detected"	0.12	0.72	0.61	49.2
RGMB	"DRAGON, FLJ90406"	ENSG00000174136	"Repulsive guidance molecule BMP co-receptor b"	Q6NW40	5	98768650-98798643	"Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"unprognostic (3.21e-1)"	0.36	0.72	0.17	0.53	0.28	8.9
